IdPersona1,IdPersona2,Peso
1,288,38
2,132,189
3,243,55
4,356,73
5,12,76
6,573,136
7,250,31
8,387,41
9,494,50
10,549,6
11,276,79
12,417,44
13,178,53
14,518,62
15,578,20
16,553,151
17,276,5
18,32,91
19,211,52
20,168,96
21,497,63
22,283,14
23,416,53
24,576,99
25,335,17
26,517,61
27,329,217
28,315,50
29,318,64
30,349,14
31,386,67
32,579,551
33,283,77
34,226,63
35,319,20
36,357,44
37,413,90
38,107,318
39,314,47
40,323,49
41,493,314
42,84,49
43,42,44
44,272,22
45,517,75
46,49,87
47,507,11
48,288,50
49,132,96
50,243,88
51,356,59
52,12,511
53,573,21
54,250,33
55,387,52
56,494,52
57,549,31
58,276,30
59,417,84
60,178,92
61,518,53
62,578,37
63,553,60
64,276,87
65,32,97
66,82,64
67,186,89
68,329,94
69,269,66
70,99,87
71,13,38
72,288,71
73,132,78
74,243,97
75,356,37
76,12,23
77,573,38
78,250,35
79,387,7
80,494,75
81,549,3
82,276,51
83,417,25
84,178,53
85,518,65
86,578,76
87,553,45
88,276,15
89,32,63
90,238,97
91,315,7
92,39,34
93,237,85
94,244,28
95,125,84
96,376,22
97,303,49
98,449,74
99,229,54
100,477,40
101,590,53
102,288,83
103,132,85
104,243,21
105,356,1
106,12,38
107,573,92
108,250,98
109,387,5
110,494,35
111,549,51
112,276,51
113,417,56
114,178,38
115,518,97
116,578,31
117,553,33
118,276,73
119,32,10
120,76,85
121,5,231
122,211,75
123,201,34
124,532,69
125,22,11
126,196,88
127,309,91
128,216,93
129,288,44
130,132,30
131,243,60
132,356,95
133,12,31
134,573,87
135,250,28
136,387,45
137,494,65
138,549,3
139,276,98
140,417,11
141,178,519
142,518,6
143,578,26
144,553,28
145,276,2
146,32,11
147,18,40
148,109,87
149,49,90
150,81,22
151,322,55
152,384,89
153,492,13
154,590,93
155,458,26
156,288,22
157,132,83
158,243,88
159,356,77
160,12,20
161,573,79
162,250,77
163,387,71
164,494,56
165,549,58
166,276,43
167,417,44
168,178,22
169,518,23
170,578,15
171,553,40
172,276,51
173,32,17
174,109,31
175,232,20
176,17,81
177,97,68
178,157,94
179,290,3
180,96,81
181,519,66
182,584,189
183,288,80
184,132,177
185,243,51
186,356,55
187,12,47
188,573,7
189,250,97
190,387,5
191,494,84
192,549,18
193,276,93
194,417,34
195,178,55
196,518,68
197,578,78
198,553,3
199,276,54
200,32,45
201,511,30
202,485,23
203,549,17
204,584,91
205,255,1
206,285,26
207,288,75
208,132,39
209,243,82
210,356,54
211,12,81
212,573,16
213,250,94
214,387,69
215,494,74
216,549,79
217,276,61
218,417,100
219,178,53
220,518,49
221,578,91
222,553,80
223,276,72
224,32,4
225,234,20
226,542,55
227,318,38
228,136,16
229,558,49
230,318,21
231,260,85
232,563,42
233,451,92
234,41,191
235,424,76
236,69,54
237,498,53
238,46,48
239,394,4
240,321,33
241,272,93
242,142,34
243,291,13
244,127,27
245,493,92
246,163,92
247,370,74
248,282,91
249,537,62
250,491,67
251,562,60
252,37,45
253,462,72
254,184,84
255,54,51
256,169,39
257,94,38
258,288,79
259,132,16
260,243,541
261,356,86
262,12,1
263,573,52
264,250,87
265,387,68
266,494,78
267,549,18
268,276,1
269,417,59
270,178,14
271,518,51
272,578,39
273,553,54
274,276,98
275,32,72
276,255,2
277,535,25
278,250,27
