ESTADO1,ESTADO2
AGUASCALIENTES,ZACATECAS
AGUASCALIENTES,JALISCO
AGUASCALIENTES,SAN LUIS POTOSÍ
BAJA CALIFORNIA,SONORA
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR
BAJA CALIFORNIA SUR,SONORA
CAMPECHE,QUINTANA ROO
CAMPECHE,YUCATÁN
CAMPECHE,TABASCO
CHIAPAS,OAXACA
CHIAPAS,VERACRUZ
CHIAPAS,TABASCO
CHIHUAHUA,SONORA
CHIHUAHUA,SINALOA
CHIHUAHUA,DURANGO
CHIHUAHUA,COAHUILA
CHIHUAHUA,NUEVO LEÓN
CIUDAD DE MÉXICO,MÉXICO
CIUDAD DE MÉXICO,MORELOS
COAHUILA,NUEVO LEÓN
COAHUILA,DURANGO
COAHUILA,ZACATECAS
COAHUILA,SAN LUIS POTOSÍ
COLIMA,JALISCO
DURANGO,SINALOA
DURANGO,ZACATECAS
DURANGO,NAYARIT
DURANGO,JALISCO
GUANAJUATO,JALISCO
GUANAJUATO,ZACATECAS
GUANAJUATO,MÉXICO
GUANAJUATO,QUERÉTARO
GUANAJUATO,MICHOACÁN
GUERRERO,MICHOACÁN
GUERRERO,MÉXICO
GUERRERO,MORELOS
GUERRERO,OAXACA
GUERRERO,PUEBLA
HIDALGO,MÉXICO
HIDALGO,QUERÉTARO
HIDALGO,VERACRUZ
HIDALGO,PUEBLA
JALISCO,NAYARIT
JALISCO,ZACATECAS
JALISCO,MICHOACÁN
JALISCO,COLIMA
MÉXICO,QUERÉTARO
MÉXICO,MORELOS
MÉXICO,PUEBLA
MÉXICO,TLAXCALA
MÉXICO,VERACRUZ
MICHOACÁN,GUANAJUATO
MICHOACÁN,JALISCO
MICHOACÁN,COLIMA
MICHOACÁN,GUERRERO
MICHOACÁN,ESTADO DE MÉXICO
MORELOS,PUEBLA
MORELOS,GUERRERO
NAYARIT,JALISCO
NAYARIT,SINALOA
NUEVO LEÓN,TAMAULIPAS
NUEVO LEÓN,COAHUILA
NUEVO LEÓN,SAN LUIS POTOSÍ
OAXACA,PUEBLA
OAXACA,VERACRUZ
OAXACA,CHIAPAS
PUEBLA,TLAXCALA
PUEBLA,VERACRUZ
PUEBLA,OAXACA
PUEBLA,GUERRERO
QUERÉTARO,ZACATECAS
QUERÉTARO,SAN LUIS POTOSÍ
QUERÉTARO,HIDALGO
QUERÉTARO,MÉXICO
QUERÉTARO,GUANAJUATO
QUINTANA ROO,YUCATÁN
QUINTANA ROO,CAMPECHE
QUINTANA ROO,TABASCO
SAN LUIS POTOSÍ,ZACATECAS
SAN LUIS POTOSÍ,TAMAULIPAS
SAN LUIS POTOSÍ,NUEVO LEÓN
SAN LUIS POTOSÍ,COAHUILA
SAN LUIS POTOSÍ,GUANAJUATO
SAN LUIS POTOSÍ,QUERÉTARO
SAN LUIS POTOSÍ,HIDALGO
SAN LUIS POTOSÍ,VERACRUZ
SINALOA,NAYARIT
SINALOA,DURANGO
SINALOA,CHIHUAHUA
SONORA,CHIHUAHUA
SONORA,SINALOA
SONORA,BAJA CALIFORNIA
TABASCO,CHIAPAS
TABASCO,CAMPECHE
TABASCO,VERACRUZ
TAMAULIPAS,NUEVO LEÓN
TAMAULIPAS,SAN LUIS POTOSÍ
TAMAULIPAS,VERACRUZ
TLAXCALA,VERACRUZ
TLAXCALA,PUEBLA
VERACRUZ,OAXACA
VERACRUZ,PUEBLA
VERACRUZ,HIDALGO
VERACRUZ,TABASCO
VERACRUZ,TAMAULIPAS
VERACRUZ,TLAXCALA
YUCATÁN,CAMPECHE
YUCATÁN,QUINTANA ROO
ZACATECAS,SAN LUIS POTOSÍ
ZACATECAS,COAHUILA
ZACATECAS,DURANGO
ZACATECAS,NAYARIT
