IdPersona,IdPasatiempo,Experiencia
0,61,14
1,24,3
2,3,19
3,4,7
4,147,12
5,3,1
6,10,20
7,4,5
8,51,8
9,19,16
10,8,11
11,41,4
12,3,13
13,4,6
14,74,17
15,11,9
16,8,10
17,131,2
18,3,18
19,3,7
20,11,15
21,150,3
22,5,14
23,4,12
24,3,5
25,11,19
26,7,8
27,3,6
28,3,11
29,22,4
30,6,14
31,45,3
32,2,19
33,23,7
34,4,12
35,5,1
36,3,20
37,6,5
38,3,8
39,3,16
40,3,11
41,3,4
42,4,13
43,7,6
44,8,17
45,10,9
46,5,10
47,10,2
48,6,18
49,3,7
50,9,15
51,3,3
52,3,14
53,3,12
54,4,5
55,12,19
56,3,8
57,4,6
58,2,11
59,4,4
60,4,14
61,3,3
62,3,19
63,58,7
64,160,12
65,3,1
66,18,20
67,98,5
68,3,8
69,12,16
70,169,11
71,3,4
72,14,13
73,28,6
74,33,17
75,8,9
76,8,10
77,7,2
78,3,18
79,6,7
80,12,15
81,3,3
82,4,14
83,4,12
84,3,5
85,41,19
86,3,8
87,3,6
88,3,11
89,12,4
90,4,14
91,30,3
92,22,19
93,6,7
94,63,12
95,5,7
96,56,15
97,14,3
98,3,14
99,4,12
100,4,5
101,6,19
102,2,8
103,5,6
104,3,11
105,3,4
106,3,10
107,4,2
108,4,18
109,3,1
