IdPasatiempo,NombrePasatiempo
2,Fotografía
3,Senderismo
4,Pintura acrílica
5,Jardinería
6,Tocar guitarra
7,Ciclismo de montaña
8,Lectura de novelas
9,Cocina gourmet
10,Cerámica
11,Yoga
12,Natación
14,Escritura creativa
18,Astronomía
19,Ajedrez
22,Origami
23,Pesca deportiva
24,Repostería
28,Bordado
30,Caligrafía
33,Programación recreativa
41,Coleccionismo de monedas
45,Modelismo
51,Patinaje
56,Tocar piano
58,Voluntariado comunitario
61,Danza contemporánea
63,Escalada en roca
74,Meditación
98,Viajar
131,Canto coral
147,Huertos urbanos
150,Grabación de videos
160,Observación de aves
169,Juegos de mesa
