id_operacion,id_producto
1,41
1,74
1,80
1,91
1,105
1,127
1,169
1,172
1,174
1,237
1,241
1,244
1,261
2,107
2,110
2,172
2,174
2,232
2,241
3,8
3,9
3,28
3,72
3,86
3,104
3,114
3,118
3,127
3,171
3,172
3,174
3,209
3,218
3,237
3,243
3,264
4,24
4,33
4,44
4,65
4,95
4,103
4,169
4,172
4,174
4,196
4,214
4,221
4,231
4,240
4,245
4,247
4,264
4,270
4,277
4,279
5,47
5,62
5,63
5,76
5,164
5,190
5,204
5,253
6,38
6,40
6,76
6,84
6,92
6,164
6,166
6,175
6,182
6,212
6,234
6,238
6,250
7,2
7,57
7,89
7,95
7,121
7,164
7,187
7,208
7,222
7,260
8,34
8,99
8,131
8,164
8,166
8,187
8,198
8,209
8,212
8,216
8,217
8,248
9,3
9,22
9,112
9,158
9,175
9,185
9,207
9,226
9,241
10,42
10,60
10,73
10,81
10,87
10,100
10,101
10,111
10,128
10,154
10,158
10,160
10,187
10,192
10,193
10,207
10,224
10,252
10,263
11,8
11,26
11,35
11,76
11,81
11,97
11,101
11,109
11,112
11,122
11,137
11,142
11,148
11,167
11,220
11,256
11,267
12,5
12,31
12,35
12,76
12,112
12,115
12,160
12,168
12,177
12,205
12,232
12,242
12,272
12,277
13,27
13,35
13,45
13,76
13,112
13,156
13,177
13,204
13,209
13,263
13,266
13,274
14,76
14,112
15,7
15,19
15,27
15,53
15,56
15,59
15,72
15,146
15,157
15,159
15,166
15,200
15,238
16,7
16,25
16,46
16,68
16,104
16,105
16,138
16,178
16,179
16,192
16,194
16,203
16,218
16,238
16,269
17,7
17,22
17,65
17,99
17,212
17,238
18,13
18,36
18,61
18,75
18,102
18,254
18,269
19,13
19,43
19,68
19,71
19,73
19,75
19,89
19,91
19,97
19,139
19,193
19,207
19,215
19,225
19,233
19,249
19,258
19,264
19,269
19,273
20,80
20,108
20,124
20,128
20,144
20,145
20,208
20,214
20,220
20,247
20,253
20,257
21,128
21,144
22,54
22,128
22,144
22,201
22,214
22,233
22,257
23,2
23,26
23,99
23,121
23,130
23,136
23,156
23,170
23,171
23,195
23,217
23,219
23,225
23,229
23,246
23,247
23,262
23,274
24,2
24,14
24,17
24,23
24,32
24,61
24,121
24,139
24,161
24,170
24,233
24,246
25,2
25,4
25,13
25,26
25,42
25,43
25,72
25,110
25,122
25,145
25,168
25,170
25,171
25,185
25,190
25,196
25,245
25,254
26,2
26,76
26,97
26,115
26,117
26,170
26,179
26,256
27,3
27,5
27,26
27,35
27,39
27,56
27,100
27,145
27,161
27,201
27,205
27,210
27,217
27,227
27,247
27,264
27,272
28,35
28,39
28,40
28,56
28,59
28,81
28,109
28,110
28,132
28,156
28,157
28,204
28,212
28,231
28,232
28,241
28,278
29,35
29,56
29,112
29,277
30,24
30,35
30,40
30,56
30,81
30,102
30,122
30,133
30,199
30,236
30,252
30,276
31,3
31,15
31,18
31,30
31,31
31,38
31,73
31,158
31,212
31,216
31,234
31,235
31,258
31,273
32,7
32,48
32,65
32,114
32,195
32,234
33,3
33,7
33,82
33,83
33,100
33,108
33,115
33,121
33,135
33,143
33,160
33,163
33,165
33,172
33,173
33,177
33,182
33,196
33,234
33,272
34,12
34,71
34,77
34,78
34,87
34,88
34,107
34,116
34,136
34,176
34,177
34,185
34,223
34,229
34,231
34,234
34,237
34,266
34,279
35,12
35,46
35,49
35,67
35,79
35,86
35,89
35,94
35,107
35,121
35,123
35,134
35,138
35,180
35,183
35,192
35,200
35,230
35,244
35,268
36,18
36,89
36,176
36,201
36,227
37,13
37,29
37,58
37,69
37,108
37,128
37,133
37,137
37,144
37,154
37,186
37,210
37,263
37,277
38,34
38,63
38,103
38,137
38,186
39,1
39,17
39,33
39,110
39,192
39,193
39,226
40,33
40,45
40,61
40,62
40,79
40,110
40,192
40,225
40,241
40,266
41,23
41,72
41,149
41,241
41,264
42,9
42,22
42,23
42,40
42,67
42,72
42,77
42,99
42,112
42,147
42,150
42,173
42,177
42,180
42,199
42,227
42,234
42,241
42,244
42,262
43,23
43,53
43,65
43,72
43,86
43,95
43,168
43,170
43,227
43,241
43,244
43,255
44,8
44,15
44,17
44,47
44,54
44,105
44,123
44,229
44,250
45,17
45,37
45,54
45,99
45,101
45,115
45,120
45,126
45,131
45,162
45,164
45,166
45,183
45,202
45,203
45,229
45,251
45,255
45,264
45,273
46,17
46,29
46,41
46,47
46,54
46,74
46,75
46,102
46,105
46,139
46,170
46,210
46,220
46,229
46,230
46,257
46,265
46,272
46,277
46,278
47,23
47,80
47,91
47,147
47,189
47,193
47,198
48,19
48,25
48,53
48,63
48,80
48,147
48,192
48,248
49,6
49,15
49,30
49,31
49,70
49,80
49,83
49,88
49,90
49,114
49,116
49,119
49,158
49,177
49,221
49,240
49,241
49,246
49,280
50,78
50,80
50,82
50,170
50,175
50,205
51,15
51,113
51,164
52,46
52,91
52,102
52,105
52,110
52,155
52,158
52,164
52,204
52,209
52,222
52,227
52,243
52,259
52,262
52,270
52,279
53,2
53,15
53,17
53,47
53,51
53,57
53,70
53,96
53,100
53,113
53,133
53,136
53,150
53,207
53,224
53,243
53,245
53,254
53,269
53,277
54,51
54,57
54,100
54,105
54,116
54,185
54,202
54,222
54,226
54,230
54,231
54,234
54,239
54,268
54,273
54,277
55,51
55,57
55,277
56,34
56,51
56,57
56,75
56,134
56,177
56,235
56,261
56,277
57,12
57,46
57,76
57,79
57,82
57,88
57,97
57,110
57,139
57,160
57,167
57,184
57,189
57,203
57,204
57,212
57,234
57,240
57,269
57,270
58,12
58,18
58,71
58,104
58,167
58,270
59,12
59,167
59,270
60,12
60,35
60,54
60,68
60,89
60,100
60,167
60,194
60,217
60,218
