id_detalle,id_operacion,id_producto,cantidad_producto
1,1,261,24
2,1,172,18
3,1,169,34
4,1,41,6
5,1,127,40
6,1,244,45
7,1,74,23
8,1,174,10
9,1,80,12
10,1,237,40
11,1,241,22
12,1,105,7
13,1,91,19
14,2,110,47
15,2,172,50
16,2,174,21
17,2,232,44
18,2,241,13
19,2,107,18
20,3,72,4
21,3,264,6
22,3,209,36
23,3,172,49
24,3,9,5
25,3,86,32
26,3,174,46
27,3,127,20
28,3,114,21
29,3,118,36
30,3,104,45
31,3,8,18
32,3,237,27
33,3,171,45
34,3,218,12
35,3,243,4
36,3,28,15
37,4,24,4
38,4,172,10
39,4,65,19
40,4,95,28
41,4,247,42
42,4,33,46
43,4,277,1
44,4,240,50
45,4,103,22
46,4,196,18
47,4,231,49
48,4,270,7
49,4,44,9
50,4,245,32
51,4,174,47
52,4,169,18
53,4,279,45
54,4,214,19
55,4,221,12
56,4,264,36
57,5,253,27
58,5,164,32
59,5,204,1
60,5,63,47
61,5,190,7
62,5,76,23
63,5,62,2
64,5,47,50
65,6,212,50
66,6,166,25
67,6,238,22
68,6,84,43
69,6,250,5
70,6,92,48
71,6,182,49
72,6,164,36
73,6,175,28
74,6,38,33
75,6,76,32
76,6,40,33
77,6,234,14
78,7,164,30
79,7,89,15
80,7,2,2
81,7,121,12
82,7,208,18
83,7,222,37
84,7,187,44
85,7,95,21
86,7,57,37
87,7,260,21
88,8,209,13
89,8,34,41
90,8,164,27
91,8,131,41
92,8,217,29
93,8,216,21
94,8,212,14
95,8,99,15
96,8,198,18
97,8,187,48
98,8,166,19
99,8,248,11
100,9,158,16
101,9,175,34
102,9,112,46
103,9,22,28
104,9,241,6
105,9,185,9
106,9,226,45
107,9,207,19
108,9,3,41
109,10,193,2
110,10,60,37
111,10,192,13
112,10,87,8
113,10,111,1
114,10,100,6
115,10,73,24
116,10,187,3
117,10,81,7
118,10,42,10
119,10,160,48
120,10,158,42
121,10,154,30
122,10,207,32
123,10,224,2
124,10,101,47
125,10,128,1
126,10,252,22
127,10,263,7
128,11,97,16
129,11,137,32
130,11,167,2
131,11,256,4
132,11,76,23
133,11,142,22
134,11,26,34
135,11,109,18
136,11,101,8
137,11,35,23
138,11,148,21
139,11,267,7
140,11,8,29
141,11,220,48
142,11,112,30
143,11,81,49
144,11,122,11
145,12,242,4
146,12,115,8
147,12,272,6
148,12,5,7
149,12,160,13
150,12,177,24
151,12,232,1
152,12,76,50
153,12,112,14
154,12,168,26
155,12,277,5
156,12,35,30
157,12,31,4
158,12,205,32
159,13,35,35
160,13,112,26
161,13,204,1
162,13,177,27
163,13,45,27
164,13,156,10
165,13,266,11
166,13,76,3
167,13,209,24
168,13,263,4
169,13,27,20
170,13,274,40
171,14,112,10
172,14,76,4
173,15,59,23
174,15,72,36
175,15,157,12
176,15,159,35
177,15,7,16
178,15,27,26
179,15,146,37
180,15,166,48
181,15,238,10
182,15,53,17
183,15,56,21
184,15,19,50
185,15,200,2
186,16,269,21
187,16,194,29
188,16,179,33
189,16,105,18
190,16,68,27
191,16,7,46
192,16,25,2
193,16,238,10
194,16,46,27
195,16,203,48
196,16,192,46
197,16,104,1
198,16,138,38
199,16,178,36
200,16,218,48
201,17,65,26
202,17,212,39
203,17,7,11
204,17,22,44
205,17,238,46
206,17,99,19
207,18,269,39
208,18,61,29
209,18,254,16
210,18,102,21
211,18,75,32
212,18,13,39
213,18,36,6
214,19,207,47
215,19,193,38
216,19,269,26
217,19,273,13
218,19,73,49
219,19,233,9
220,19,43,3
221,19,89,15
222,19,264,50
223,19,97,50
224,19,258,40
225,19,13,13
226,19,249,42
227,19,215,22
228,19,75,33
229,19,71,44
230,19,225,14
231,19,139,25
232,19,91,50
233,19,68,26
234,20,253,21
235,20,128,23
236,20,124,30
237,20,214,23
238,20,144,19
239,20,220,23
240,20,108,43
241,20,208,13
242,20,247,6
243,20,257,40
244,20,145,50
245,20,80,16
246,21,128,45
247,21,144,23
248,22,201,2
249,22,257,44
250,22,214,21
251,22,233,47
252,22,128,29
253,22,144,26
254,22,54,19
255,23,99,4
256,23,219,32
257,23,225,42
258,23,130,10
259,23,121,50
260,23,156,27
261,23,2,5
262,23,195,16
263,23,262,24
264,23,246,42
265,23,247,35
266,23,274,45
267,23,170,41
268,23,171,41
269,23,26,2
270,23,136,15
271,23,217,7
272,23,229,38
273,24,161,20
274,24,139,3
275,24,233,14
276,24,17,18
277,24,32,3
278,24,2,6
279,24,14,18
280,24,246,38
281,24,170,31
282,24,61,28
283,24,121,15
284,24,23,44
285,25,171,38
286,25,170,41
287,25,145,7
288,25,2,32
289,25,13,3
290,25,254,25
291,25,4,30
292,25,110,30
293,25,168,24
294,25,190,22
295,25,196,48
296,25,185,9
297,25,42,33
298,25,245,26
299,25,26,50
300,25,43,22
301,25,122,39
302,25,72,50
303,26,2,19
304,26,256,2
305,26,117,32
306,26,179,28
307,26,115,26
308,26,97,12
309,26,170,39
310,26,76,19
311,27,210,12
