spotify_id,genre
48WvrUGoijadXXCsGocwM4,nordic house
48WvrUGoijadXXCsGocwM4,russelater
4lDiJcOJ2GLCK6p9q5BgfK,christlicher rap
4lDiJcOJ2GLCK6p9q5BgfK,german hip hop
3dXC1YPbnQPsfHPVkm1ipj,dancehall
3dXC1YPbnQPsfHPVkm1ipj,lovers rock
3dXC1YPbnQPsfHPVkm1ipj,modern reggae
3dXC1YPbnQPsfHPVkm1ipj,reggae fusion
74terC9ol9zMo8rfzhSOiG,classic swedish pop
74terC9ol9zMo8rfzhSOiG,norrbotten indie
74terC9ol9zMo8rfzhSOiG,swedish pop
71BhXa24Zf5zcikUb00l2N,swedish drill
71BhXa24Zf5zcikUb00l2N,swedish hip hop
71BhXa24Zf5zcikUb00l2N,swedish trap
71BhXa24Zf5zcikUb00l2N,swedish trap pop
3TG1RXLaEhHz5SIPMWahit,francoton
7MFvm8pwjLdmVBZddGNiQH,ukrainian hip hop
7MFvm8pwjLdmVBZddGNiQH,ukrainian pop
7MFvm8pwjLdmVBZddGNiQH,ukrainian rock
5OkJ74jazRprW3kCTjfgOL,norwegian pop rap
6swIRY9NcGlW0PwO5KlqKV,suomi rock
5qBZETtyzfYnXOobDXbmcD,orchestral soundtrack
5qBZETtyzfYnXOobDXbmcD,soundtrack
0AjnB78SikKKhqYoqFIOXn,japanese dance pop
2tGETO39QXKpmeQMSzr5I6,classic icelandic pop
2tGETO39QXKpmeQMSzr5I6,icelandic pop
2tGETO39QXKpmeQMSzr5I6,icelandic rock
6cd9X2t4HN8zjoxOblaDTz,estonian hip hop
6cd9X2t4HN8zjoxOblaDTz,estonian pop
2NUz5P42WqkxilbI8ocN76,dancehall
2NUz5P42WqkxilbI8ocN76,jamaican dancehall
2NUz5P42WqkxilbI8ocN76,reggae fusion
4Lm0pUvmisUHMdoky5ch2I,alternative metal
4Lm0pUvmisUHMdoky5ch2I,bow pop
4Lm0pUvmisUHMdoky5ch2I,cello
4Lm0pUvmisUHMdoky5ch2I,finnish metal
4Lm0pUvmisUHMdoky5ch2I,nu metal
6M2wZ9GZgrQXHCFfjv46we,dance pop
6M2wZ9GZgrQXHCFfjv46we,pop
6M2wZ9GZgrQXHCFfjv46we,uk pop
