spotify_id,name,followers,popularity
48WvrUGoijadXXCsGocwM4,Byklubben,1738,24
4lDiJcOJ2GLCK6p9q5BgfK,Kontra K,1999676,72
652XIvIBNGg3C0KIGEJWit,Maxim,34596,36
3dXC1YPbnQPsfHPVkm1ipj,Christopher Martin,249233,52
74terC9ol9zMo8rfzhSOiG,Jakob Hellman,21193,39
0FQMb3mVrAKlyU4H5mQOJh,Madh,26677,19
71BhXa24Zf5zcikUb00l2N,Juice,11312,37
3TG1RXLaEhHz5SIPMWahit,Nehuda,36252,31
7MFvm8pwjLdmVBZddGNiQH,VovaZiLvova,14619,43
5I82NM6jN4Y267iHwVeNR9,Nata Record,188,12
5OkJ74jazRprW3kCTjfgOL,Yomi,7246,30
6swIRY9NcGlW0PwO5KlqKV,Kauniit & Uhkarohkeat,798,9
5qBZETtyzfYnXOobDXbmcD,Danny Elfman,327256,63
0AjnB78SikKKhqYoqFIOXn,Attractions,11174,21
5RYLofQHxZcrEl9Bl23MCS,MaRina,6408,29
3xs0LEzcPXtgNfMNcHzLIP,Rockwell,40344,58
4kYtSSCtizbVfZkgAj4Xbe,Cosmos Insania,17,0
2tGETO39QXKpmeQMSzr5I6,Pálmi Gunnarsson,3207,27
5mjhFqCEMhIwO4ZOYlycHH,GeeSixFive,517,0
6cd9X2t4HN8zjoxOblaDTz,Suur Papa,6752,29
2NUz5P42WqkxilbI8ocN76,Vybz Kartel,1026598,63
3PGwQavDRylE3cEDRRISYV,CAMO,394,10
4Lm0pUvmisUHMdoky5ch2I,Apocalyptica,864846,60
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,36163788,88
3W78vKR2pmGmYbtNDnN9kl,Akky,35,1
0SIXZXJCAhNU8sxK0qm7hn,Stefanie Sun,561300,57
7jXoGtR69J2iYCefc58MZX,Twins,92440,45
2sjnyyL9NXijL3Fr2eLikf,Aspova,339292,57
2bPh6UXbS7wZ7tyN35kFEG,Artistic Raw,7088,40
7yaaxrkMOWJZXpIYHkppDH,Angela Ken,30050,45
63vwPO1QheUOil1fkQsv0u,Labanoon,498739,44
4JNo6Q5KdcRf1vtSX9mB0S,João Gomes,4122782,74
7pnSkMU0hGGIay6tPvbsCo,Khea,296,0
68fwnXPTQaiMV7rKvSkTYQ,Daniela Reyes,2348,25
5Matrg5du62bXwer29cU5T,Benny The Butcher,266547,64
0qZ24TkLCHoE3ajCzGItJ1,Sharmoofers,453284,37
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,39139,71
1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,774079,56
0H1pP8C4zaVSilRjiRa2Wy,D1NO,19269,48
2HmmA3GhP0xsbRUiDllJUn,Pep & Rash,77599,39
2xIWjLEjEkPdclYsGGMTpK,B10,80926,45
4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,619169,56
2AZOALDIBORfbzKTuliwdJ,Cristian Castro,2620684,69
7IpcJM0UZeU4b2SV9YRCqx,Alika,28254,0
3V79CTgRnsDdJSTqKitROv,Nobuo Uematsu,264682,61
7jZMxhsB8djyIbYmoiJSTs,Kiana Ledé,1351452,64
15NoI73ol1fVF11li1RKMB,Nick Lopez,3252,31
6HHje5tfmzWK8PsSaoJ9Xp,SAMSONS,887275,57
6pUYaWjHnY2HdN6RC6ELml,Total Ape,3330,34
2L6UrPU37b4pCVWqURjkEX,DON EAZY,1210,28
1IQ4CjwKkdARjL5KtYiMt4,Ez Mil,68207,44
0t7vWPRBcVv4xBEHPZHSWA,Sitti,74147,47
6bOZtDVI19rOqC4NWihcea,Los Pikantes,7752,33
